year,provid,province,provchn,prov_governor,prov_secretary,citychn,pref_code,UPref_code,cityid,citychn2,cityname,position,leadername,leadereng,missingtype,link,starty,startm,endy,endm,promotion,promotion_weak,promotion_inprov,newposition,newplace,newtype,birthyear,birthmonth,age,year_joinccp,partyyear,jiguan,ethnic,minority,gender,male,edu_doc,edu_mba,edu_visit,edu_visitdetail,edu_recent,edu_recentcode,edu_recentdetail,edu_high,edu_highcode,edu_highdetail,edu_first,edu_firstcode,edu_firstdetail,zhongqingban,zhongqingban_detail,mishu,mishu_detail,expsec_provcore,expsec_provlowcore,expsec_provnocore,expsec_citycore,expsec_citylowcore,expsec_citynocore,expsec_detail,cenwork,exp_cenwork,strictcenwork,provwork,exp_provwork,strictprovwork,cyl_cityabove,expcyl_cityabove,cyl_city,cyl_prov,cyl_cen,gov_birthtown,gov_birthtown_record,gov_birthcity,gov_birthcity_record,gov_birthprov,gov_birthprov_record,gov_school,gov_school_record,gov_work1,gov_work1_record,gov_strictwork1,gov_work2,gov_work2_record,gov_strictwork2,sec_birthtown,sec_birthtown_record,sec_birthcity,sec_birthcity_record,sec_birthprov,sec_birthprov_record,sec_school,sec_school_record,sec_work1,sec_work1_record,sec_strictwork1,sec_work2,sec_work2_record,sec_strictwork2,tenure,stricttenure,LastWork,LastWorkLoc,CentDtl,CentParty,CentGovern,CentPeri,MiCentDtl,MiCentParty,MiCentGovern,MiCentPeri,MiProvDtl,MiProvPartyCore,MiProvPartyPeri1,MiProvPartyPeri2,MiProvGovernCore,MiProvGovernPeri,MiProvPeri,MiPrefDtl,MiPrefPartyCore,MiPrefPartyPeri1,MiPrefPartyPeri2,MiPrefGovernCore,MiPrefGovernPeri,MiPrefPeri,SOEDtl,SOECM,SOECNoM,SOEProv,SOEPref,Cent1stDtl,Center,TProv1stDtl,ThisProv,TPref1stDtl,Local,OPrefTProv1stDtl,OtherPrefThisProv,OProv1stDtl,OtherProv,edu_years,school_names,major_names
2005.0,520000,Guizhou,贵州省,石秀诗,钱运录,毕节地区,522400,520500.0,520500,毕节地区,Bijie(diqu),0,黄家培,Huang Jia Pei ,0,,,,,,0.0,,,2003年06月至2006年10月，任贵州省毕节地委副书记、行署专员,贵州省毕节地区,行署专员,1957,1,48.0,1977,28.0,贵州省毕节市大方县,彝族,1.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1994年08月至1996年12月，在中央党校经济管理专业学习,本科,3.0,1994年08月至1996年12月，在中央党校经济管理专业学习,大专,2.0,1977年02月至1980年02月，在贵州工学院机械系机械制造工艺及设备专业学习；,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,3,3,2000年08月至2003年06月，任贵州省毕节地委委员、行署副专员（分管常务工作）,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1984年01月至1984年10月，任贵州省大方县水泥厂党支部书记（区级）；,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1984年10月至1987年08月，任贵州省大方县纪委副书记；,1.0,0,0.0,0,0.0,1977——1980,贵州工学院,机械系机械制造工艺及设备专业
2006.0,520000,Guizhou,贵州省,林树森,石宗源,毕节地区,522400,520500.0,520500,毕节地区,Bijie(diqu),0,黄家培,Huang Jia Pei ,0,,,,,,1.0,0.0,1.0,2006年10月至2007年08月，任贵州省农业厅厅长、党组书记,贵州省,省政府,1957,1,49.0,1977,29.0,贵州省毕节市大方县,彝族,1.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1994年08月至1996年12月，在中央党校经济管理专业学习,本科,3.0,1994年08月至1996年12月，在中央党校经济管理专业学习,大专,2.0,1977年02月至1980年02月，在贵州工学院机械系机械制造工艺及设备专业学习；,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,4,4,2000年08月至2003年06月，任贵州省毕节地委委员、行署副专员（分管常务工作）,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1984年01月至1984年10月，任贵州省大方县水泥厂党支部书记（区级）；,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1984年10月至1987年08月，任贵州省大方县纪委副书记；,1.0,0,0.0,0,0.0,1977——1980,贵州工学院,机械系机械制造工艺及设备专业
2007.0,520000,Guizhou,贵州省,林树森,石宗源,毕节地区,522400,520500.0,520500,毕节地区,Bijie(diqu),0,秦如培,Qin Ru Pei ,0,,,,,,1.0,0.0,1.0,2008—2012年 贵州省毕节地委、市委书记,贵州省毕节地区,地委书记,1962,10,45.0,1985,22.0,贵州江口,汉族,0.0,男,1.0,0.0,0.0,0.0,,硕士,4.0,2004—2006年贵州工业大学与加拿大魁北克大学席库提米分校合作举办的项目管理专业学习，获项目管理硕士学位,硕士,4.0,2004—2006年贵州工业大学与加拿大魁北克大学席库提米分校合作举办的项目管理专业学习，获项目管理硕士学位,本科,3.0,1979.09--1983.08贵州农学院农学系农学专业学习,1.0,1995.03--1995.07贵州省委党校中青班学习,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,1.0,1996.11--1998.02共青团贵州省贵阳市委书记,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1,1,2004.09--2006.08贵州省贵阳市委副书记、政法委书记,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"2002.04--2002.05贵州省贵阳市委常委、秘书长、白云区委书记
2002.05--2003.11贵州省贵阳市委常委、秘书长
2003.11--2004.09贵州省贵阳市委副书记、政法委书记、秘书长",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1983.08--1984.03贵州省江口县农业局干部,1.0,0,0.0,1979——1983,贵州农学院,农学系农学专业
2008.0,520000,Guizhou,贵州省,林树森,石宗源,毕节地区,522400,520500.0,520500,毕节地区,Bijie(diqu),0,张吉勇,Zhang Ji Yong ,0,,,,,,0.0,,,2008.06 -- 2011.12 贵州省毕节地委副书记，行署专员、党组书记,贵州省毕节地区,行署专员,1959,5,49.0,1986,22.0,贵州松桃,汉族,0.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,1.0,2007.09--2008.01在中央党校中青班学习,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1,1,2006.10—2008.06贵州省遵义市委副书记,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1986.06--1989.06贵州省铜仁地区五交化公司经理、党支部书记,0.0,0.0,0.0,1.0,0,0.0,0,0.0,2004.02--2006.10贵州省毕节地委副书记，地区纪委书记,0.0,1983.11--1986.06贵州省铜仁地区商业局工作员、业务科副科长,1.0,0,0.0,1978——1982,贵州财经学院,贸易经济系贸易经济专业
2009.0,520000,Guizhou,贵州省,林树森,石宗源,毕节地区,522400,520500.0,520500,毕节地区,Bijie(diqu),0,张吉勇,Zhang Ji Yong ,0,,,,,,0.0,,,2008.06 -- 2011.12 贵州省毕节地委副书记，行署专员、党组书记,贵州省毕节地区,行署专员,1959,5,50.0,1986,23.0,贵州松桃,汉族,0.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,1.0,2007.09--2008.01在中央党校中青班学习,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2,2,2006.10—2008.06贵州省遵义市委副书记,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1986.06--1989.06贵州省铜仁地区五交化公司经理、党支部书记,0.0,0.0,0.0,1.0,0,0.0,0,0.0,2004.02--2006.10贵州省毕节地委副书记，地区纪委书记,0.0,1983.11--1986.06贵州省铜仁地区商业局工作员、业务科副科长,1.0,0,0.0,1978——1982,贵州财经学院,贸易经济系贸易经济专业
2010.0,520000,Guizhou,贵州省,林树森,石宗源,毕节地区,522400,520500.0,520500,毕节地区,Bijie(diqu),0,张吉勇,Zhang Ji Yong ,0,,,,,,0.0,,,2008.06 -- 2011.12 贵州省毕节地委副书记，行署专员、党组书记,贵州省毕节地区,行署专员,1959,5,51.0,1986,24.0,贵州松桃,汉族,0.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,1.0,2007.09--2008.01在中央党校中青班学习,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,3,3,2006.10—2008.06贵州省遵义市委副书记,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1986.06--1989.06贵州省铜仁地区五交化公司经理、党支部书记,0.0,0.0,0.0,1.0,0,0.0,0,0.0,2004.02--2006.10贵州省毕节地委副书记，地区纪委书记,0.0,1983.11--1986.06贵州省铜仁地区商业局工作员、业务科副科长,1.0,0,0.0,1978——1982,贵州财经学院,贸易经济系贸易经济专业
2011.0,520000,Guizhou,贵州省,赵克志,栗战书,毕节市,520500,520500.0,520500,毕节地区,Bijie(diqu),0,张吉勇,Zhang Ji Yong ,0,,,,,,0.0,,,2012.01 — 2012.07 贵州省毕节市委副书记，市人民政府市长、党组书记,贵州省毕节市,市长,1959,5,52.0,1986,25.0,贵州松桃,汉族,0.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,1.0,2007.09--2008.01在中央党校中青班学习,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,4,4,2006.10—2008.06贵州省遵义市委副书记,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1986.06--1989.06贵州省铜仁地区五交化公司经理、党支部书记,0.0,0.0,0.0,1.0,0,0.0,0,0.0,2004.02--2006.10贵州省毕节地委副书记，地区纪委书记,0.0,1983.11--1986.06贵州省铜仁地区商业局工作员、业务科副科长,1.0,0,0.0,1978——1982,贵州财经学院,贸易经济系贸易经济专业
2012.0,520000,Guizhou,贵州省,赵克志,栗战书,毕节市,520500,520500.0,520500,毕节地区,Bijie(diqu),0,张吉勇,Zhang Ji Yong ,0,,,,,,1.0,0.0,1.0,2012.12 — 2014.08 贵州省毕节市委书记、毕节军分区党委第一书记（兼）、毕节经济开发区党的工作委员会第一书记（兼）,贵州省毕节市,市委书记,1959,5,53.0,1986,26.0,贵州松桃,汉族,0.0,男,1.0,0.0,0.0,0.0,,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,本科,3.0,1978.11 -- 1982.08 贵州财经学院贸易经济系贸易经济专业学习,1.0,2007.09--2008.01在中央党校中青班学习,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,5,5,2006.10—2008.06贵州省遵义市委副书记,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1986.06--1989.06贵州省铜仁地区五交化公司经理、党支部书记,0.0,0.0,0.0,1.0,0,0.0,0,0.0,2004.02--2006.10贵州省毕节地委副书记，地区纪委书记,0.0,1983.11--1986.06贵州省铜仁地区商业局工作员、业务科副科长,1.0,0,0.0,1978——1982,贵州财经学院,贸易经济系贸易经济专业
2013.0,520000,Guizhou,贵州省,陈敏尔,赵克志,毕节市,520500,520500.0,520500,毕节地区,Bijie(diqu),0,陈昌旭,Chen Chang Xu ,0,,,,,,0.0,,,2012.08——2016.08，贵州省毕节市委副书记、市长,贵州省毕节地区,市长,1970,1,43.0,1990,23.0,贵州绥阳,汉族,0.0,男,1.0,0.0,0.0,0.0,,硕士,4.0,2003.03--2006.01在中央党校在职研究生班政治理论专业学习,硕士,4.0,2003.03--2006.01在中央党校在职研究生班政治理论专业学习,,,missing,1.0,1995.03—1995.06，在贵州省遵义地委党校中青班学习,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,2008.01--2011.04 省人大内务司法委员会委员,1.0,1.0,2008.01--2011.04 共青团贵州省委书记、党组书记，省人大内务司法委员会委员,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,1,1,2011.04--2012.07贵州省黔南州委副书记（保留正厅长级），瓮安县委书记，省人大内务司法委员会委员,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1988.12--1991.05贵州省绥阳县宽阔区岩坪乡秘书、乡团委书记；,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2002.10--2002.12共青团贵州省委副书记、党组成员，正安县委副书记，县长；,0.0,0,0.0,1988.12--1991.05贵州省绥阳县宽阔区岩坪乡秘书、乡团委书记；,0.0,0,0.0,missing,missing,missing
2014.0,520000,Guizhou,贵州省,陈敏尔,赵克志,毕节市,520500,520500.0,520500,毕节地区,Bijie(diqu),0,陈昌旭,Chen Chang Xu ,0,,,,,,0.0,,,2012.08——2016.08，贵州省毕节市委副书记、市长,贵州省毕节市,市长,1970,1,44.0,1990,24.0,贵州绥阳,汉族,0.0,男,1.0,0.0,0.0,0.0,,硕士,4.0,2003.03--2006.01在中央党校在职研究生班政治理论专业学习,硕士,4.0,2003.03--2006.01在中央党校在职研究生班政治理论专业学习,,,missing,1.0,1995.03—1995.06，在贵州省遵义地委党校中青班学习,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,2008.01--2011.04 省人大内务司法委员会委员,1.0,1.0,2008.01--2011.04 共青团贵州省委书记、党组书记，省人大内务司法委员会委员,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2,2,2011.04--2012.07贵州省黔南州委副书记（保留正厅长级），瓮安县委书记，省人大内务司法委员会委员,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1988.12--1991.05贵州省绥阳县宽阔区岩坪乡秘书、乡团委书记；,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2002.10--2002.12共青团贵州省委副书记、党组成员，正安县委副书记，县长；,0.0,0,0.0,1988.12--1991.05贵州省绥阳县宽阔区岩坪乡秘书、乡团委书记；,0.0,0,0.0,missing,missing,missing
